203,Dimitrios Delifotis,Greece,Long jump,1984,"",""
204,Luis Delís,Cuba,Discus throw/shot put,1990,"",""
205,Tezeta Dengersa,Turkey,Middle/Long distance,2005,Metenolone,2 years
206,Frédéric Denis,France,Steeplechase,2007,EPO,2 years
207,Sébastien Denis,France,Hurdling,2005,Ephedrine,Public warning
208,Lyubov Denisova,Russia,Marathon,2007,"Prostanozol, testosterone",2 years
209,Manuela Derr,Germany,Sprinting,1992,Clenbuterol,3 years
210,Ronald Desruelles,Belgium,Long jump,1980,"",""
211,Hrysopiyi Devetzi,Greece,Triple/Long jump,2009 2007 (Retest 2015),Failure to submit to doping controlStanozolol,2 years 4 years
212,Vadim Devyatovskiy,Belarus,Hammer throw,2000,Nandrolone,2 years
213,Aïssa Dghoughi,Morocco,Long distance,2006,Refusal to submit to doping control,3 years
214,Ahmed Mohamed Dheeb,Qatar,Discus throw,2010,Testosterone metabolites,""
215,Alberico Di Cecco,Italy,Marathon,2008,EPO,2 years
216,Rostislav Dimitrov,Bulgaria,Triple jump,1999,Ephedrine,""
217,Svetla Dimitrova,Bulgaria,Heptathlon,1989,Sydnocarb,2 years
218,Katalin Divós,Hungary,Hammer throw,2001,"",2 years
219,Vukosava Đjapić,Serbia and Montenegro,Sprinting,2005,Metenolone,2 years
220,Abderahmane Djemadi,Algeria,Long distance,2001,Refusal to submit to doping control,2 years
221,Gábor Dobos,Hungary,Sprinting,2000 2006,"Drostanolone, testosterone",2 years Life ban
222,Jim Doehring,United States,Shot put,1990,Steroids,2 years
223,Bahar Doğan,Turkey,Long distance,2011,Biological passport,2 years and 6 months
224,Bishop Dolegiewicz,Canada,"Shot put, discus throw",1973–1985,Self admittance (The Dubin Inquiry): Steroids,National record annulled
225,Marta Dominguez,Spain,Middle distance,2009,Biological passport,3 years
226,Tetyana Dorovskikh (Tatyana Samolenko),Ukraine,Middle distance,1993,Unknown substance,""
227,Rashid Shafi Al-Dosari,Qatar,Discus throw,2003,Refused to submit to doping control,2 years
228,Troy Douglas,Netherlands,Sprinting,1999,Nandrolone,2 years
229,Horace Dove-Edwin,Sierra Leone,Sprinting,1994,Stanozolol,2 years
230,Hanna Drabenia,Belarus,Race walking,2015,Trimetazidine,2 years
231,Rasa Drazdauskaitė,Lithuania,Long distance,2003,Stanozolol,2 years
232,Heike Drechsler,East Germany,Long jump/sprinting,1980's,Self admittance,—
233,Hamza Driouch,Qatar,Middle distance,2012,Biological passport anomalies,2 years
234,Jon Drummond,United States,Coach,2012/2013,"Possession, trafficking and administration of prohibited substances",8 years
235,Oleksandr Dryhol,Ukraine,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years
236,Aliona Dubitskaya,Belarus,Shot put,2014,Oxilofrine,6 months
237,Aleksandra Duliba,Belarus,Marathon,2013,Biological passport,2 years
238,Corina Dumbrăvean,Romania,Middle distance,20072010,Refusal to submit to testing,2 years Life ban
239,Julien Dunkley,Jamaica,Sprinting,2008,Boldenone,2 years
240,Debbie Dunn,United States,Sprinting,2012,Testosterone,2 years
241,Lyudmila Dzhigalova,Ukraine,Sprinting,1993,Steroids,4 years
242,Monzavous Edwards,United States,Sprinting,2004,Cannabis,Public warning
243,Mark Edwards,Great Britain,"","","Clostebol, Testosterone",""
244,Paul Edwards,Great Britain,Shot put,19931997,"Anabolic steroids, raised testosterone and pseudoephedrineTetrahydrocannabinol",4 yearsLife ban
245,Torri Edwards,United States,Sprinting,2004,Nikethamide,15 months (Reduced from 2 years)
246,Daniel Effiong,Nigeria,Sprinting,1995,Methyltestosterone and ephedrine,4 years
247,Inna Eftimova,Bulgaria,Sprinting,2011 {Retested 2012),Recombinant Human Growth hormone,2 years
248,Florence Ekpo-Umoh,Germany,Sprinting,2003,Stanozolol,2 years
249,Christy Ekpukhon,Nigeria,Sprinting,2008,Metenolone,2 years
250,Abderrahim El Asri,Morocco,Cross country running,2014,EPO,2 years
251,Wafa Ismail El Baghdadi,Egypt,Shot put,2007,Methandienone,2 years
252,Hayat El Ghazi,Morocco,Hammer throw,2006,Norandrosterone,2 years
